求人一括入稿用のコード一覧

求人一括作成機能利用時のコード一覧です。
求人一括作成機能については、複数の求人を一括入稿したいを参照ください。

目次

1. コード一覧の見かた
2. コード値一覧（職種以外）
3. コード値一覧（職種）
4. 求人の特徴ID一覧
1. コード一覧の見かた
❶項目	❷入力形式
15d4c	営業	広告/メディア/イベント営業	イベント法人営業
384c6	営業	化粧品/トイレタリー営業	化粧品/トイレタリー法人営業
9afc8	営業	日用品/アパレル/インテリア営業	日用品/アパレル/インテリア法人営業
5aed9	営業	食品/飲料/香料営業	食品/飲料/香料法人営業
c2452	営業	化学/素材営業	化学/素材法人営業
b140f	営業	鉄鋼/非鉄金属/金属製品営業	鉄鋼/非鉄金属/金属製品法人営業
c376d	営業	医薬情報担当者/MR	医薬情報担当者/MR
33378	営業	医療機器/理化学機器営業	医療機器法人営業
12b8b	営業	医療機器/理化学機器営業	理化学機器法人営業
4fb72	営業	レジャー/トラベル営業	レジャー/トラベル法人営業
e1ff7	営業	その他営業	その他営業
83a64	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	経営企画
0b41a	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	事業企画
725c7	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	業務企画
c241b	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	新規事業企画/開発
63f98	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	アライアンス企画/推進
3066b	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	海外事業企画/開発
72a1a	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	システム企画
fef9e	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	ライセンスビジネス企画/推進
601f0	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	リサーチ/データ分析
7b869	企画/マーケティング/カスタマーサクセス/サポート	経営/事業企画	その他
9caaa	企画/マーケティング/カスタマーサクセス/サポート	営業推進/企画	営業企画
353c5	企画/マーケティング/カスタマーサクセス/サポート	営業推進/企画	営業推進
5bed3	企画/マーケティング/カスタマーサクセス/サポート	商品企画	商品企画
f8431	企画/マーケティング/カスタマーサクセス/サポート	マーケティング戦略企画	マーケティング戦略企画
